lr,iterations
0.014008561,363.0
0.014044496,364.0
0.014080431,365.0
0.014116367,366.0
0.014152302,367.0
0.0141882375,368.0
0.014224173,369.0
0.014260108,370.0
0.014296043,371.0
0.014331979,372.0
0.014367914,373.0
0.014403849,374.0
0.014439784,375.0
0.014475719,376.0
0.014511655,377.0
0.01454759,378.0
0.014583525,379.0
0.01461946,380.0
0.014655395,381.0
0.0146913305,382.0
0.0147272665,383.0
0.014763202,384.0
0.014799137,385.0
0.014835072,386.0
0.014871007,387.0
0.014906943,388.0
0.014942878,389.0
0.014978813,390.0
0.015014748,391.0
0.015050683,392.0
0.015086618,393.0
0.015122554,394.0
0.015158489,395.0
0.015194424,396.0
0.0152303595,397.0
0.015266295,398.0
0.015302231,399.0
0.015338166,400.0
0.015374101,401.0
0.015410036,402.0
0.015445971,403.0
0.015481906,404.0
0.015517842,405.0
0.015553777,406.0
0.015589712,407.0
0.015625648,408.0
0.015661582,409.0
0.015697518,410.0
0.015733453,411.0
0.015769389,412.0
0.015805325,413.0
0.015841259,414.0
0.015877195,415.0
0.015913129,416.0
0.015949065,417.0
0.015985,418.0
0.016020935,419.0
0.016056871,420.0
0.016092805,421.0
0.016128741,422.0
0.016164675,423.0
0.016200611,424.0
0.016236547,425.0
0.016272482,426.0
0.016308418,427.0
0.016344352,428.0
0.016380288,429.0
0.016416224,430.0
0.016452158,431.0
0.016488094,432.0
0.016524028,433.0
0.016559964,434.0
0.0165959,435.0
0.016631834,436.0
0.01666777,437.0
0.016703704,438.0
0.01673964,439.0
0.016775576,440.0
0.01681151,441.0
0.016847447,442.0
0.01688338,443.0
0.016919317,444.0
0.01695525,445.0
0.016991187,446.0
0.017027123,447.0
0.017063057,448.0
0.017098993,449.0
0.017134927,450.0
0.017170863,451.0
0.0172068,452.0
0.017242733,453.0
0.01727867,454.0
0.017314604,455.0
0.01735054,456.0
0.017386476,457.0
0.01742241,458.0
0.017458346,459.0
0.01749428,460.0
0.017530216,461.0
0.017566152,462.0
0.017602086,463.0
0.017638022,464.0
0.017673956,465.0
0.017709892,466.0
0.017745828,467.0
0.017781762,468.0
0.017817698,469.0
0.017853633,470.0
0.017889569,471.0
0.017925503,472.0
0.017961439,473.0
0.017997375,474.0
0.018033309,475.0
0.018069245,476.0
0.01810518,477.0
0.018141115,478.0
0.018177051,479.0
0.018212985,480.0
0.018248921,481.0
0.018284855,482.0
0.018320791,483.0
0.018356727,484.0
0.018392662,485.0
0.018428598,486.0
0.018464532,487.0
0.018500468,488.0
0.018536404,489.0
0.018572338,490.0
0.018608274,491.0
0.018644208,492.0
0.018680144,493.0
0.018716078,494.0
0.018752014,495.0
0.01878795,496.0
0.018823884,497.0
0.01885982,498.0
0.018895755,499.0
0.01893169,500.0
0.018967627,501.0
0.01900356,502.0
0.019039497,503.0
0.01907543,504.0
0.019111367,505.0
0.019147303,506.0
0.019183237,507.0
0.019219173,508.0
0.019255107,509.0
0.019291043,510.0
0.01932698,511.0
0.019362913,512.0
0.01939885,513.0
0.019434784,514.0
0.01947072,515.0
0.019506654,516.0
0.01954259,517.0
0.019578526,518.0
0.01961446,519.0
0.019650396,520.0
0.01968633,521.0
0.019722266,522.0
0.019758202,523.0
0.019794136,524.0
0.019830072,525.0
0.019866006,526.0
0.019901942,527.0
0.019937878,528.0
0.019973813,529.0
0.020009749,530.0
0.020045683,531.0
0.020081619,532.0
0.020117555,533.0
0.020153489,534.0
0.020189425,535.0
0.02022536,536.0
0.020261295,537.0
0.02029723,538.0
0.020333165,539.0
0.020369101,540.0
0.020405035,541.0
0.020440971,542.0
0.020476906,543.0
0.020512842,544.0
0.020548778,545.0
0.020584712,546.0
0.020620648,547.0
0.020656582,548.0
0.020692518,549.0
0.020728454,550.0
0.020764388,551.0
0.020800324,552.0
0.020836258,553.0
0.020872194,554.0
0.02090813,555.0
0.020944064,556.0
0.02098,557.0
