lr,iterations
0.13126528,291.0
0.13171448,292.0
0.13216367,293.0
0.13261285,294.0
0.13306205,295.0
0.13351125,296.0
0.13396043,297.0
0.13440962,298.0
0.13485882,299.0
0.135308,300.0
0.1357572,301.0
0.13620639,302.0
0.13665557,303.0
0.13710476,304.0
0.13755396,305.0
0.13800314,306.0
0.13845234,307.0
0.13890153,308.0
0.13935071,309.0
0.13979991,310.0
0.1402491,311.0
0.1406983,312.0
0.14114748,313.0
0.14159667,314.0
0.14204587,315.0
0.14249505,316.0
0.14294425,317.0
0.14339344,318.0
0.14384262,319.0
0.14429182,320.0
0.14474101,321.0
0.1451902,322.0
0.14563939,323.0
0.14608859,324.0
0.14653777,325.0
0.14698696,326.0
0.14743616,327.0
0.14788534,328.0
0.14833453,329.0
0.14878373,330.0
0.14923291,331.0
0.1496821,332.0
0.1501313,333.0
0.15058048,334.0
0.15102968,335.0
0.15147887,336.0
0.15192805,337.0
0.15237725,338.0
0.15282644,339.0
0.15327562,340.0
0.15372482,341.0
0.15417401,342.0
0.1546232,343.0
0.15507239,344.0
0.15552159,345.0
0.15597077,346.0
0.15641996,347.0
0.15686916,348.0
0.15731834,349.0
0.15776753,350.0
0.15821673,351.0
0.15866591,352.0
0.1591151,353.0
0.1595643,354.0
0.16001348,355.0
0.16046268,356.0
0.16091187,357.0
0.16136107,358.0
0.16181025,359.0
0.16225944,360.0
0.16270864,361.0
0.16315782,362.0
0.16360702,363.0
0.16405621,364.0
0.16450539,365.0
0.16495459,366.0
0.16540378,367.0
0.16585296,368.0
0.16630216,369.0
0.16675135,370.0
0.16720054,371.0
0.16764973,372.0
0.16809893,373.0
0.1685481,374.0
0.1689973,375.0
0.1694465,376.0
0.16989568,377.0
0.17034487,378.0
0.17079407,379.0
0.17124325,380.0
0.17169245,381.0
0.17214164,382.0
0.17259082,383.0
0.17304002,384.0
0.17348921,385.0
0.1739384,386.0
0.17438759,387.0
0.17483678,388.0
0.17528597,389.0
0.17573516,390.0
0.17618436,391.0
0.17663354,392.0
0.17708273,393.0
0.17753193,394.0
0.17798111,395.0
0.1784303,396.0
0.1788795,397.0
0.17932868,398.0
0.17977788,399.0
0.18022707,400.0
0.18067625,401.0
0.18112545,402.0
0.18157464,403.0
0.18202384,404.0
0.18247302,405.0
0.18292221,406.0
0.18337141,407.0
0.18382059,408.0
0.18426979,409.0
0.18471898,410.0
0.18516816,411.0
0.18561736,412.0
0.18606655,413.0
0.18651573,414.0
0.18696493,415.0
0.18741412,416.0
0.1878633,417.0
0.1883125,418.0
0.1887617,419.0
0.18921088,420.0
0.18966007,421.0
0.19010927,422.0
0.19055845,423.0
0.19100764,424.0
0.19145684,425.0
0.19190602,426.0
0.19235522,427.0
0.19280441,428.0
0.19325359,429.0
0.19370279,430.0
0.19415198,431.0
0.19460116,432.0
0.19505036,433.0
0.19549955,434.0
0.19594873,435.0
0.19639793,436.0
0.19684713,437.0
0.1972963,438.0
0.1977455,439.0
0.1981947,440.0
0.19864388,441.0
0.19909307,442.0
0.19954227,443.0
0.19999145,444.0
0.20044065,445.0
0.20088984,446.0
0.20133904,447.0
0.20178822,448.0
0.20223741,449.0
0.20268661,450.0
0.20313579,451.0
0.20358498,452.0
0.20403418,453.0
0.20448336,454.0
0.20493256,455.0
0.20538175,456.0
0.20583093,457.0
0.20628013,458.0
0.20672932,459.0
0.2071785,460.0
0.2076277,461.0
0.2080769,462.0
0.20852607,463.0
0.20897527,464.0
0.20942447,465.0
0.20987365,466.0
0.21032284,467.0
0.21077204,468.0
0.21122122,469.0
0.21167041,470.0
0.21211961,471.0
0.21256879,472.0
0.21301799,473.0
0.21346718,474.0
0.21391636,475.0
0.21436556,476.0
0.21481475,477.0
0.21526393,478.0
0.21571313,479.0
0.21616232,480.0
0.2166115,481.0
0.2170607,482.0
0.2175099,483.0
0.21795908,484.0
0.21840827,485.0
0.21885747,486.0
0.21930665,487.0
0.21975584,488.0
0.22020504,489.0
0.22065422,490.0
0.22110341,491.0
0.22155261,492.0
0.2220018,493.0
0.22245099,494.0
0.22290018,495.0
0.22334938,496.0
0.22379856,497.0
0.22424775,498.0
0.22469695,499.0
0.22514613,500.0
0.22559533,501.0
0.22604452,502.0
0.2264937,503.0
0.2269429,504.0
0.22739209,505.0
0.22784127,506.0
0.22829047,507.0
0.22873966,508.0
0.22918884,509.0
0.22963804,510.0
0.23008724,511.0
0.23053642,512.0
0.23098561,513.0
0.2314348,514.0
0.23188399,515.0
0.23233318,516.0
0.23278238,517.0
0.23323156,518.0
0.23368075,519.0
0.23412995,520.0
0.23457913,521.0
0.23502833,522.0
0.23547752,523.0
0.2359267,524.0
0.2363759,525.0
0.2368251,526.0
0.23727427,527.0
0.23772347,528.0
0.23817267,529.0
0.23862185,530.0
0.23907104,531.0
0.23952024,532.0
0.23996942,533.0
0.24041861,534.0
0.24086781,535.0
0.24131699,536.0
